"deviate","verb [ I ]
UK  /ˈdiː.vi.eɪt/ US  /ˈdiː.vi.eɪt/

to do something that is different from the usual or common way of behaving:
–  deviate from. The recent pattern of weather deviates from the norm for this time of year.
– The aircraft deviated from its original flight plan.

– отклоняться"
"deluge","UK  /ˈdel.juːdʒ/ US  /ˈdel.juːdʒ/

to cover something with a lot of water:
- The city was deluged when the river burst its banks.
– figurative: We've been deluged with (= have received a lot of) replies.

потоп"
"midst","noun [ U ]   formal
UK  /mɪdst/ /mɪtst/ US  /mɪdst/ /mɪtst/

the middle of a group of people or things:
- She caught sight of Johnny in their midst (= among them), laughing and talking.

preposition   literary
UK  /mɪdst/ /mɪtst/ US  /mɪdst/ /mɪtst/
among:
- The summit of the mountain appeared midst the clouds.

в середине"
"signify","verb   formal
UK  /ˈsɪɡ.nɪ.faɪ/ US  /ˈsɪɡ.nə.faɪ/

to be a sign of something; to mean:
- Nobody really knows what the marks on the ancient stones signify.
- [ + that ] The number 30 on a road sign signifies that the speed limit is 30 miles an hour.

означать"
"contingent on/upon something","phrase
UK  /kənˈtɪn.dʒənt/ US  /kənˈtɪn.dʒənt/

depending on something else in the future in order to happen:
- Outdoor activities are, as ever, contingent on the weather.
- Our success is contingent upon your support."
"disbursement","noun
UK  /dɪsˈbɜːs.mənt/ US  /dɪsˈbɝːs.mənt/

[ C ]
an amount of money given for a particular purpose

[ U ]
the act of paying out money, especially from an amount that has been collected for a particular purpose

– Among the disbursements were hundreds of thousands of dollars in payments to political consultants.
– FEMA announced the disbursement of $388 million in housing grants to states affected by the storm.

– Выплата / выделение / освоение"
"predicament","noun [ C ]   formal
UK  /prɪˈdɪk.ə.mənt/ US  /prəˈdɪk.ə.mənt/

an unpleasant situation that is difficult to get out of:
- She is hoping to get a loan from her bank to help her out of her financial predicament.
- I'm in a bit of a predicament because I've accidentally accepted two invitations to dinner on the same night.

затруднительное положение"

an unpleasant situation that is difficult to get out of:
- She is hoping to get a loan from her bank to help her out of her financial predicament.
- I'm in a bit of a predicament because I've accidentally accepted two invitations to dinner on the same night.

затруднительное положение"
